element name     weight   price         result
Magnesium           2.2    2.32        21739.1
Calcium             2.1    2.28        33457.2
Sodium                2       3         166667
Boron                 2    3.68         251497
Osmium              3.8      13         516854
Potassium           3.7   12.85         521368
Rhodium               4      14         526316
Bismuth             2.2      10         590909
Helium                4      24         689655
Tantalum            2.5      20         744681
Palladium           1.2      15         802326
Lawrencium            5      50         803571
Einsteinium         2.5      30         820896
Silver                2      25         821429
Tellurium             2      40         883721
Thorium             1.9      50         909263
Neptunium           2.8      70         910569
Curium                4     100         914286
Berkelium           3.7     110         926765
Californium         100    2700         928240
Americium           2.6      90         933761
Plutonium           1.5      80         951515
Lithium             1.2    83.5         960327
Neon                3.5     240         967280
Beryllium           3.8     857         990021
Manganese             5    1500         992696
Nobelium            7.2    4500         996584
Ruthenium           1.5    1200         996674
Rhenium             3.5    2500         996806
Iridium               2    1600         996881
Fermium             4.5    3500         997147
Scandium            2.5    2700         997781
Gold                1.5    1800         997781
Platinum              1    1700         998237
Titanium            4.5    6000         998335
Chromium            7.2   10000         998461
